mine_id,month,year,planned_production_tpd,rainfall_mm,equipment_availability_pct,blasting_days,haul_road_condition,crusher_capacity_tpd,num_dumpers,num_shovels,lag_1,lag_2,lag_3,predicted_production_tpd,shortfall_risk
Mine_A_Dongri_Buzurg,1,2026,1145.0246416097402,47.31427767565838,0.9611075276163028,22,5,1477.4016975449654,7,3,1347.8382192736854,809.2095323183569,1492.9372693269418,1350.1295893370393,Low
Mine_A_Dongri_Buzurg,2,2026,1082.456130469572,0.484758416718728,0.983095720573943,19,4,1293.5139229498243,5,2,1371.9809225426152,838.7865053835479,1179.588484394617,879.6959913709642,High
Mine_A_Dongri_Buzurg,3,2026,1417.5632152907706,5.672684313535492,0.8792728405491457,25,5,1702.1981821818176,7,3,1142.1641666023702,1012.754784079912,944.3544901261846,1593.9842622470078,Low
Mine_A_Dongri_Buzurg,4,2026,937.9685061487194,8.958343741935742,0.9134554742795714,17,5,1197.6289868828806,7,3,1006.3847777826904,806.6647953149948,1420.04885643604,1031.9122643770434,Low
Mine_A_Dongri_Buzurg,5,2026,909.238397047462,4.913260290666016,0.8566891719010892,21,5,1122.84474987899,6,2,1457.2595561690332,1392.304884368412,1294.9861896174557,828.1691354347442,Medium
Mine_A_Dongri_Buzurg,6,2026,1100.6447010702177,273.34901421771923,0.7291880341522688,1,1,1220.8290240507906,6,4,1472.6919278763294,939.0179324291088,928.965079584902,259.0763691742493,High
Mine_A_Dongri_Buzurg,7,2026,881.8974876425309,395.4645282043807,0.7427829483405012,5,2,1026.352168347281,8,2,1141.6974563422011,792.0220840130244,568.5929722673561,207.69484609373413,High
Mine_A_Dongri_Buzurg,8,2026,1346.5102703846069,206.1759900011725,0.7909720151870938,12,2,1661.0938287321403,5,3,859.5598579241624,655.3948335411494,1368.3045745345007,466.52735557259916,High
Mine_A_Dongri_Buzurg,9,2026,516.9694345359478,400.64115434138665,0.6875478797235272,3,1,643.7170419946765,6,4,1317.1651834659438,1172.350726300358,1265.0399313583412,119.28678214511291,High
Mine_A_Dongri_Buzurg,10,2026,951.0385294813154,13.33785641202408,0.9352469912381408,19,3,1228.1752673225476,5,2,589.255467214923,525.786943285584,1290.7348372907147,756.2824081343143,High
Mine_A_Dongri_Buzurg,11,2026,1324.0876121707438,11.455733387833828,0.9457612398038776,16,5,1463.1842238450306,5,2,790.5956440297864,949.9957871699404,1244.8587327255557,1096.7552286971754,High
Mine_A_Dongri_Buzurg,12,2026,760.0924345348956,20.286484649433422,0.8096252455229702,25,4,862.9883478556025,8,4,1485.5542947728502,1050.1218203672238,775.7544893780829,844.7346651844463,Low
Mine_B_Chikla,1,2026,807.6580127230325,39.84195323423437,0.8758993666227228,21,5,1005.5932095641924,8,4,1314.3333872069693,839.7846108803317,1358.8457196693375,911.6738261205705,Low
Mine_B_Chikla,2,2026,886.4959908767228,33.79273688135724,0.9052181675567522,23,5,1038.39464439903,5,4,1439.5824715691238,1249.8177472750058,502.2325531441088,903.3663740306913,Low
Mine_B_Chikla,3,2026,1409.870874080447,11.362404559197724,0.995262580022128,21,4,1741.6658345844378,8,2,1094.794571385757,1175.6604968379388,737.2762783837527,1283.0413104169354,Medium
Mine_B_Chikla,4,2026,1306.744743472252,24.734257440829094,0.9594853860766366,19,3,1511.2850398560074,5,2,907.672458148116,1471.3989875699615,546.5595988241957,956.4694034080945,High
Mine_B_Chikla,5,2026,661.7482901442525,48.58418752851003,0.8698946602278346,19,5,823.9590059779993,6,3,1479.690103391038,1008.766799289682,610.59645666896,662.4228076401665,Low
Mine_B_Chikla,6,2026,549.8426500877263,345.8221221097708,0.674341122259718,13,1,637.2571971992609,8,2,809.4255858571547,1037.812364629383,1032.3791375175056,153.79976884503026,High
Mine_B_Chikla,7,2026,821.549708012712,483.7134094950976,0.6979346131033124,6,1,954.2304417286892,8,3,1257.4142789089233,745.8393191938221,537.2561899410344,165.82165624977327,High
Mine_B_Chikla,8,2026,826.8486185035445,256.5778995485012,0.679343823310157,7,2,963.9979184979156,7,4,1058.2069579002082,885.4838907307205,681.3810477003796,249.20569919013315,High
Mine_B_Chikla,9,2026,769.3649698871399,431.5928237702632,0.6905655609402851,0,1,970.0935026933984,6,3,728.5071455144654,526.8605911583039,732.7401473908277,145.8776564432417,High
Mine_B_Chikla,10,2026,780.4275350582782,1.9680970871064352,0.9469710411616756,16,4,980.2525034859063,8,3,517.4832874085427,1189.2747885976896,1155.3388051372217,808.7230617916796,Low
