# DATA SOURCE: SYNTHETIC (Planetary Computer tile coverage partial - see README)
# WARNING: This is SYNTHETIC data with realistic distributions.
latitude,longitude,B02,B04,B08,B11,B12,ndvi,iron_oxide_index,clay_index
21.0,79.0,0.08490142459033699,0.12282451988878124,0.20762403179772967,0.3507985654970339,0.1160752634756389,0.25661940852969417,1.4466720710136736,3.0221647118504342
21.0,79.01,0.0657320709648644,0.13854738642131437,0.20555858916161504,0.23822911248927162,0.13454502684731726,0.19474001463446539,2.1077593353873763,1.7706274092356689
21.0,79.02000000000001,0.08919065614302064,0.08638766467266691,0.07223568273699942,0.28213922313947615,0.11977094694774267,-0.08921752161865762,0.9685730356920311,2.3556566103381553
21.0,79.03000000000002,0.11533089569224059,0.07497053061968972,0.21969098082985763,0.23608784205698327,0.15498090234730572,0.49114134197276443,0.6500472410683704,1.5233350582485756
21.0,79.04000000000002,0.06249539875829968,0.05587397893768772,0.32688290818217636,0.18208666331484577,0.20913892657309527,0.7080445533271753,0.894049481376618,0.8706493153207444
21.0,79.05000000000003,0.06237589129152428,0.06608357880084134,0.12707678809232278,0.0715658845843753,0.11054789214293931,0.3157646169394572,1.059441032851049,0.6473744829716209
21.0,79.06000000000003,0.11665638446522138,0.2,0.36024826510506197,0.24258189809254027,0.19896102488842016,0.28603081001314284,1.7144368115418671,1.2192433071083089
21.0,79.07000000000004,0.09218304187458683,0.14852718322947084,0.30507748210843705,0.17360753767783155,0.10965639638265495,0.3451249751318877,1.6112202423349955,1.5831957208742689
21.0,79.08000000000004,0.05495576842195095,0.05787213295718194,0.1837766678028999,0.205891825882113,0.10617863937515505,0.5210228000205079,1.0530674852461777,1.9391077800567413
21.0,79.09000000000005,0.0851968013075784,0.04548168173025637,0.24394703626621939,0.19237089208146077,0.18930973091715986,0.6857141055014735,0.5338425971260783,1.0161701199819646
21.0,79.10000000000005,0.05489746921562552,0.15271703520936036,0.41883218076410794,0.4189683581563716,0.19429681890037992,0.46560320278794765,2.781859293573891,2.156331536007043
21.0,79.11000000000006,0.05470810739289163,0.11991059189511766,0.33325478135059167,0.39503862795777644,0.1905904968381317,0.470786609048169,2.1918248937910705,2.072708945640723
21.0,79.12000000000006,0.0758188681469803,0.11979535341269348,0.2616783654898203,0.2416045556269862,0.08205012958909183,0.3719339105407465,1.5800203324383528,2.9445968768420654
21.0,79.13000000000007,0.011041592660265272,0.08746176825785089,0.23793166830390755,0.19356629432617706,0.12436245109639625,0.4624245085879462,5.0,1.5564689539649905
