latitude,longitude,B02,B04,B08,B11,B12,ndvi,iron_oxide_index,clay_index,rock_type,fault_distance_km,shear_zone_proximity_km,elevation_m,slope_deg,rainfall_mm,soil_moisture,mn_occurrence,vegetation_masked
21.0,79.0,0.0849014245903369,0.1228245198887812,0.2076240317977296,0.3507985654970339,0.1160752634756389,0.2566194085296941,1.4466720710136736,3.0221647118504342,Deccan_basalt,11.236203565420874,16.55037844212606,357.4542081109768,17.398492661870648,814.3636257013713,0.386652875091774,0,False
21.0,79.01,0.0657320709648644,0.1385473864213143,0.205558589161615,0.2382291124892716,0.1345450268473172,0.1947400146344653,2.1077593353873763,1.7706274092356689,Gondwana_sediment,28.521429192297486,15.290555893094353,389.3742637500086,16.54652674157575,847.1857752878022,0.24961091420974432,0,False
21.0,79.02000000000001,0.0891906561430206,0.0863876646726669,0.0722356827369994,0.2821392231394761,0.1197709469477426,-0.0892175216186576,0.9685730356920312,2.3556566103381558,Gondwana_sediment,21.959818254342153,11.470579029111466,541.8189572808722,23.864037422403225,800.0,0.38461565095524375,0,False
21.0,79.03000000000002,0.1153308956922405,0.0749705306196897,0.2196909808298576,0.2360878420569832,0.1549809023473057,0.4911413419727644,0.6500472410683704,1.5233350582485756,Gondwana_sediment,17.959754525911098,19.12094287223866,336.00175442395687,14.164050728647643,800.0,0.28701394144617337,0,False
21.0,79.04000000000002,0.0624953987582996,0.0558739789376877,0.3268829081821763,0.1820866633148457,0.2091389265730952,0.7080445533271753,0.894049481376618,0.8706493153207444,Gondwana_sediment,4.680559213273096,4.009490310568056,547.8598739248685,19.322740556587526,830.6730082835918,0.31327094896077884,0,True
21.0,79.05000000000003,0.0623758912915242,0.0660835788008413,0.1270767880923227,0.0715658845843753,0.1105478921429393,0.3157646169394572,1.059441032851049,0.6473744829716209,Gondwana_sediment,4.679835610086079,2.1852842061924282,235.2537723906766,8.080782189487515,800.0,0.24566445943076362,0,False
21.0,79.06000000000003,0.1166563844652213,0.2,0.3602482651050619,0.2425818980925402,0.1989610248884201,0.2860308100131428,1.7144368115418671,1.2192433071083089,Gondwana_sediment,1.7425083650459838,17.079239339108444,510.7193748834523,22.624752628699945,841.5249066992976,0.2770083691783626,0,False
21.0,79.07000000000004,0.0921830418745868,0.1485271832294708,0.305077482108437,0.1736075376778315,0.1096563963826549,0.3451249751318877,1.6112202423349955,1.5831957208742689,Gondwana_sediment,25.985284373248057,8.782996332674966,539.0190532218945,22.792438852298627,800.0,0.274854517498099,0,False
21.0,79.08000000000004,0.0549557684219509,0.0578721329571819,0.1837766678028999,0.205891825882113,0.106178639375155,0.5210228000205079,1.0530674852461777,1.9391077800567411,Gondwana_sediment,18.033450352296263,16.93937708414121,272.7270611349355,13.725607357900326,800.0,0.24771525145610437,0,False
21.0,79.09000000000005,0.0851968013075784,0.0454816817302563,0.2439470362662193,0.1923708920814607,0.1893097309171598,0.6857141055014735,0.5338425971260783,1.0161701199819646,Gondwana_sediment,21.242177333881365,17.861804103908298,372.13861294888017,16.312324665611015,800.0,0.2895541021314564,0,False
21.0,79.10000000000005,0.0548974692156255,0.1527170352093603,0.4188321807641079,0.4189683581563716,0.1942968189003799,0.4656032027879476,2.781859293573891,2.156331536007043,Gondwana_sediment,0.6175348288740734,1.2491518723814288,266.19990986546225,9.158259129655608,800.0,0.2796492054096614,0,False
