latitude,longitude,ndvi,iron_oxide_index,clay_index,B02,B04,B08,B11,B12,rock_type,fault_distance_km,shear_zone_proximity_km,elevation_m,slope_deg,rainfall_mm,soil_moisture,vegetation_masked,rock_type_encoded,mn_probability,confidence,prospectivity_class
21.374540118847364,79.68243903473157,0.648256954077822,0.9135780114026948,0.654306321534056,0.4996702437290534,0.6456906684495384,0.7725019656847065,0.6855280150108364,0.8646363729610499,Mn_bearing_schist,19.144337051165216,10.18032096607354,566.6369461457582,23.541951512270757,880.7799446634275,0.2298209110228634,False,5,0.9650000000000001,High,High
21.95071430640992,79.61460919197054,0.1723863621051662,0.525360481819498,0.0800325697659366,0.7467467725125942,0.402418494256982,0.4811443597959755,0.4675709622524174,0.0262898488807229,Mn_bearing_schist,13.778773606025794,6.12375950153721,580.0854429578108,25.0,1051.5804387813816,0.3544747317115589,False,5,0.06033333333333336,High,Low
21.731993941811407,78.84359151187094,0.8723945633548149,0.7249102718360844,0.242329811453739,0.5626667806563331,0.4719091099145875,0.7889583350103461,0.0557068956934241,0.9109970222440644,Laterite,28.934955745918224,18.633801288680008,201.76405359212413,10.884640028895191,963.3759984577462,0.3241816890341705,True,4,0.031033333333333343,Low (Veg),Low
21.59865848419704,79.38012130696447,0.6131162390692415,0.4360482979725878,0.7736793464792507,0.0833025831117963,0.7167247826814506,0.0735082768026752,0.91851015068855,0.3057451943014007,Mn_bearing_schist,6.569353529527145,4.565761325423312,326.83001255054256,8.887630602595113,1118.2441631092947,0.39734123471958,False,5,0.9396666666666669,High,High
21.15601864044244,79.44633255193595,0.1572038835569542,0.6300345775424382,0.5286858536788197,0.1855802367835554,0.8763060296667939,0.1915939679029951,0.980329132876381,0.5082227016882677,Laterite,17.63569247996822,8.398370430840568,534.9512117860908,20.8162962426297,910.3579617053364,0.3132195261749768,False,4,0.9736666666666666,High,High
21.155994520336204,79.47799872752474,0.9623380574812068,0.3405759374211187,0.9279690617870447,0.2193281840309191,0.2722188008397757,0.5515342496463607,0.431043415211835,0.132295524752228,Laterite,21.00630044970668,19.18987193656012,414.5780821406141,15.277356143160372,754.2599732046151,0.2405351744667724,True,4,0.034533333333333346,Low (Veg),Low
21.0580836121682,79.78629302768647,0.5183654633353206,0.3011590197854453,0.4287514083413543,0.2578642536448449,0.3420767959710707,0.947088324752695,0.6136608074093272,0.9022549693766851,Laterite,24.766934680361448,6.374503598766308,523.0034933928612,21.544162017918453,986.9294881196784,0.2641822590854593,False,4,0.0003333333333333333,High,Low
21.866176145774936,79.70712432943569,0.072898451871655,0.5782297861695137,0.8698123658139231,0.5654033919505043,0.9307393963624128,0.0747578467217803,0.4502986262437467,0.7498362233844047,Mn_bearing_schist,12.209130912840212,12.891863260220005,541.3293131351752,20.71004249411203,1164.755503039382,0.2847727211871567,False,5,0.9796666666666666,High,High
21.601115011743207,79.83343865774886,0.6268329044150672,0.4981296741839803,0.4489554374782375,0.5039657798253935,0.5785117924094454,0.0430842161568643,0.3218796508861206,0.9241555866080342,Mn_bearing_schist,20.607657229724445,6.334540874126504,377.0504879765291,17.038647998041863,1003.4569416948606,0.3119878894161558,False,5,0.024,High,Low
21.708072577796045,80.10030154462162,0.2531989070128102,0.5795363691499811,0.9792482787019852,0.2031600383642089,0.178961817135001,0.1565506749278556,0.0773187928578076,0.6832290511181625,Mn_bearing_schist,9.096044141528484,2.21349958234498,343.5931752099142,14.661202982510892,862.790675686713,0.2386454981204963,False,5,0.9616666666666663,High,High
21.020584494295804,80.18207575581737,0.8036934518773025,0.286660581287023,0.9598343813988768,0.067554843455687,0.6636951389123827,0.6411531288601565,0.4560677303972988,0.1846937767423261,Mn_bearing_schist,13.064282770854607,12.550944653685857,382.1733064202102,17.702268106217087,837.5723403793254,0.2359118402301404,True,5,0.02123333333333334,Low (Veg),Low
